Player's Score: 2
  Dealer Upcard: 1 | Hit Probability: 16.3% | Stand Probability: 9.6%
  Dealer Upcard: 1 | Hit Probability: 14.6% | Stand Probability: 7.0%
  Dealer Upcard: 2 | Hit Probability: 23.6% | Stand Probability: 12.1%
  Dealer Upcard: 3 | Hit Probability: 16.9% | Stand Probability: 13.3%
  Dealer Upcard: 4 | Hit Probability: 14.4% | Stand Probability: 9.7%
  Dealer Upcard: 5 | Hit Probability: 17.6% | Stand Probability: 13.1%
  Dealer Upcard: 6 | Hit Probability: 15.4% | Stand Probability: 10.1%
  Dealer Upcard: 7 | Hit Probability: 14.8% | Stand Probability: 8.3%
  Dealer Upcard: 8 | Hit Probability: 15.8% | Stand Probability: 7.2%
  Dealer Upcard: 9 | Hit Probability: 14.2% | Stand Probability: 6.7%
  Dealer Upcard: 10 | Hit Probability: 10.3% | Stand Probability: 2.9%


Player's Score: 6
  Dealer Upcard: 1 | Hit Probability: 11.7% | Stand Probability: 9.2%
  Dealer Upcard: 2 | Hit Probability: 18.0% | Stand Probability: 14.2%
  Dealer Upcard: 3 | Hit Probability: 16.5% | Stand Probability: 14.0%
  Dealer Upcard: 4 | Hit Probability: 15.4% | Stand Probability: 12.5%
  Dealer Upcard: 5 | Hit Probability: 13.7% | Stand Probability: 9.9%
  Dealer Upcard: 6 | Hit Probability: 13.6% | Stand Probability: 10.1%
  Dealer Upcard: 7 | Hit Probability: 15.4% | Stand Probability: 6.5%
  Dealer Upcard: 8 | Hit Probability: 13.0% | Stand Probability: 7.9%
  Dealer Upcard: 9 | Hit Probability: 12.2% | Stand Probability: 6.5%
  Dealer Upcard: 10 | Hit Probability: 8.4% | Stand Probability: 3.9%


Player's Score: 7
  Dealer Upcard: 1 | Hit Probability: 11.4% | Stand Probability: 9.4%
  Dealer Upcard: 2 | Hit Probability: 16.7% | Stand Probability: 12.4%
  Dealer Upcard: 3 | Hit Probability: 16.9% | Stand Probability: 11.1%
  Dealer Upcard: 4 | Hit Probability: 17.2% | Stand Probability: 11.4%
  Dealer Upcard: 5 | Hit Probability: 16.5% | Stand Probability: 9.3%
  Dealer Upcard: 6 | Hit Probability: 13.8% | Stand Probability: 9.3%
  Dealer Upcard: 7 | Hit Probability: 16.4% | Stand Probability: 8.3%
  Dealer Upcard: 8 | Hit Probability: 13.4% | Stand Probability: 8.6%
  Dealer Upcard: 9 | Hit Probability: 11.7% | Stand Probability: 6.6%
  Dealer Upcard: 10 | Hit Probability: 9.1% | Stand Probability: 3.2%


Player's Score: 8
  Dealer Upcard: 1 | Hit Probability: 13.9% | Stand Probability: 8.3%
  Dealer Upcard: 2 | Hit Probability: 22.0% | Stand Probability: 11.6%
  Dealer Upcard: 3 | Hit Probability: 19.7% | Stand Probability: 12.9%
  Dealer Upcard: 4 | Hit Probability: 19.2% | Stand Probability: 12.5%
  Dealer Upcard: 5 | Hit Probability: 20.4% | Stand Probability: 11.1%
  Dealer Upcard: 6 | Hit Probability: 19.8% | Stand Probability: 9.6%
  Dealer Upcard: 7 | Hit Probability: 27.4% | Stand Probability: 9.0%
  Dealer Upcard: 8 | Hit Probability: 20.2% | Stand Probability: 7.2%
  Dealer Upcard: 9 | Hit Probability: 16.3% | Stand Probability: 6.1%
  Dealer Upcard: 10 | Hit Probability: 11.7% | Stand Probability: 3.3%


Player's Score: 9
  Dealer Upcard: 1 | Hit Probability: 19.1% | Stand Probability: 7.0%
  Dealer Upcard: 2 | Hit Probability: 27.3% | Stand Probability: 12.5%
  Dealer Upcard: 3 | Hit Probability: 26.7% | Stand Probability: 11.6%
  Dealer Upcard: 4 | Hit Probability: 25.1% | Stand Probability: 11.2%
  Dealer Upcard: 5 | Hit Probability: 23.6% | Stand Probability: 10.7%
  Dealer Upcard: 6 | Hit Probability: 21.9% | Stand Probability: 11.0%
  Dealer Upcard: 7 | Hit Probability: 33.9% | Stand Probability: 8.7%
  Dealer Upcard: 8 | Hit Probability: 32.2% | Stand Probability: 7.2%
  Dealer Upcard: 9 | Hit Probability: 23.4% | Stand Probability: 6.3%
  Dealer Upcard: 10 | Hit Probability: 15.8% | Stand Probability: 3.2%


Player's Score: 10
  Dealer Upcard: 1 | Hit Probability: 26.6% | Stand Probability: 8.5%
  Dealer Upcard: 2 | Hit Probability: 34.2% | Stand Probability: 12.8%
  Dealer Upcard: 3 | Hit Probability: 34.0% | Stand Probability: 10.4%
  Dealer Upcard: 4 | Hit Probability: 31.1% | Stand Probability: 11.3%
  Dealer Upcard: 5 | Hit Probability: 31.7% | Stand Probability: 10.7%
  Dealer Upcard: 6 | Hit Probability: 33.1% | Stand Probability: 11.7%
  Dealer Upcard: 7 | Hit Probability: 38.3% | Stand Probability: 8.1%
  Dealer Upcard: 8 | Hit Probability: 39.1% | Stand Probability: 8.0%
  Dealer Upcard: 9 | Hit Probability: 37.0% | Stand Probability: 6.5%
  Dealer Upcard: 10 | Hit Probability: 23.5% | Stand Probability: 3.6%


Player's Score: 11
  Dealer Upcard: 1 | Hit Probability: 41.2% | Stand Probability: 63.8%
  Dealer Upcard: 2 | Hit Probability: 47.2% | Stand Probability: 71.9%
  Dealer Upcard: 3 | Hit Probability: 46.5% | Stand Probability: 71.2%
  Dealer Upcard: 4 | Hit Probability: 46.5% | Stand Probability: 72.0%
  Dealer Upcard: 5 | Hit Probability: 45.2% | Stand Probability: 71.0%
  Dealer Upcard: 6 | Hit Probability: 45.0% | Stand Probability: 71.6%
  Dealer Upcard: 7 | Hit Probability: 47.7% | Stand Probability: 70.5%
  Dealer Upcard: 8 | Hit Probability: 46.5% | Stand Probability: 70.4%
  Dealer Upcard: 9 | Hit Probability: 43.7% | Stand Probability: 72.0%
  Dealer Upcard: 10 | Hit Probability: 38.6% | Stand Probability: 66.5%


Player's Score: 12
  Dealer Upcard: 1 | Hit Probability: 17.0% | Stand Probability: 9.0%
  Dealer Upcard: 2 | Hit Probability: 21.9% | Stand Probability: 10.8%
  Dealer Upcard: 3 | Hit Probability: 21.8% | Stand Probability: 11.3%
  Dealer Upcard: 4 | Hit Probability: 21.9% | Stand Probability: 11.5%
  Dealer Upcard: 5 | Hit Probability: 19.6% | Stand Probability: 11.1%
  Dealer Upcard: 6 | Hit Probability: 18.2% | Stand Probability: 10.8%
  Dealer Upcard: 7 | Hit Probability: 22.0% | Stand Probability: 8.3%
  Dealer Upcard: 8 | Hit Probability: 21.5% | Stand Probability: 8.2%
  Dealer Upcard: 9 | Hit Probability: 17.4% | Stand Probability: 6.6%
  Dealer Upcard: 10 | Hit Probability: 15.2% | Stand Probability: 3.7%


Player's Score: 13
  Dealer Upcard: 1 | Hit Probability: 16.7% | Stand Probability: 8.8%
  Dealer Upcard: 2 | Hit Probability: 19.4% | Stand Probability: 12.7%
  Dealer Upcard: 3 | Hit Probability: 20.5% | Stand Probability: 11.6%
  Dealer Upcard: 4 | Hit Probability: 18.7% | Stand Probability: 11.6%
  Dealer Upcard: 5 | Hit Probability: 18.1% | Stand Probability: 10.5%
  Dealer Upcard: 6 | Hit Probability: 18.6% | Stand Probability: 10.8%
  Dealer Upcard: 7 | Hit Probability: 22.1% | Stand Probability: 7.3%
  Dealer Upcard: 8 | Hit Probability: 19.3% | Stand Probability: 7.7%
  Dealer Upcard: 9 | Hit Probability: 20.3% | Stand Probability: 6.7%
  Dealer Upcard: 10 | Hit Probability: 15.1% | Stand Probability: 3.6%


Player's Score: 14
  Dealer Upcard: 1 | Hit Probability: 17.6% | Stand Probability: 8.5%
  Dealer Upcard: 2 | Hit Probability: 20.6% | Stand Probability: 12.9%
  Dealer Upcard: 3 | Hit Probability: 20.0% | Stand Probability: 11.1%
  Dealer Upcard: 4 | Hit Probability: 17.7% | Stand Probability: 11.9%
  Dealer Upcard: 5 | Hit Probability: 17.5% | Stand Probability: 10.3%
  Dealer Upcard: 6 | Hit Probability: 17.6% | Stand Probability: 10.9%
  Dealer Upcard: 7 | Hit Probability: 21.3% | Stand Probability: 8.0%
  Dealer Upcard: 8 | Hit Probability: 21.1% | Stand Probability: 8.3%
  Dealer Upcard: 9 | Hit Probability: 19.1% | Stand Probability: 7.7%
  Dealer Upcard: 10 | Hit Probability: 14.6% | Stand Probability: 3.6%


Player's Score: 15
  Dealer Upcard: 1 | Hit Probability: 15.6% | Stand Probability: 8.1%
  Dealer Upcard: 2 | Hit Probability: 19.2% | Stand Probability: 12.4%
  Dealer Upcard: 3 | Hit Probability: 19.3% | Stand Probability: 11.4%
  Dealer Upcard: 4 | Hit Probability: 17.1% | Stand Probability: 10.6%
  Dealer Upcard: 5 | Hit Probability: 17.7% | Stand Probability: 10.9%
  Dealer Upcard: 6 | Hit Probability: 13.6% | Stand Probability: 9.7%
  Dealer Upcard: 7 | Hit Probability: 20.1% | Stand Probability: 8.5%
  Dealer Upcard: 8 | Hit Probability: 19.5% | Stand Probability: 8.1%
  Dealer Upcard: 9 | Hit Probability: 17.9% | Stand Probability: 7.5%
  Dealer Upcard: 10 | Hit Probability: 14.6% | Stand Probability: 3.2%


Player's Score: 16
  Dealer Upcard: 1 | Hit Probability: 14.6% | Stand Probability: 7.8%
  Dealer Upcard: 2 | Hit Probability: 18.1% | Stand Probability: 13.0%
  Dealer Upcard: 3 | Hit Probability: 15.7% | Stand Probability: 11.0%
  Dealer Upcard: 4 | Hit Probability: 16.7% | Stand Probability: 11.5%
  Dealer Upcard: 5 | Hit Probability: 14.0% | Stand Probability: 10.7%
  Dealer Upcard: 6 | Hit Probability: 17.3% | Stand Probability: 11.8%
  Dealer Upcard: 7 | Hit Probability: 23.6% | Stand Probability: 8.1%
  Dealer Upcard: 8 | Hit Probability: 20.0% | Stand Probability: 8.0%
  Dealer Upcard: 9 | Hit Probability: 16.5% | Stand Probability: 6.1%
  Dealer Upcard: 10 | Hit Probability: 14.4% | Stand Probability: 3.7%


Player's Score: 17
  Dealer Upcard: 1 | Hit Probability: 14.5% | Stand Probability: 8.4%
  Dealer Upcard: 2 | Hit Probability: 17.2% | Stand Probability: 12.6%
  Dealer Upcard: 3 | Hit Probability: 16.5% | Stand Probability: 10.8%
  Dealer Upcard: 4 | Hit Probability: 16.0% | Stand Probability: 11.0%
  Dealer Upcard: 5 | Hit Probability: 17.0% | Stand Probability: 11.6%
  Dealer Upcard: 6 | Hit Probability: 16.5% | Stand Probability: 10.3%
  Dealer Upcard: 7 | Hit Probability: 23.0% | Stand Probability: 7.9%
  Dealer Upcard: 8 | Hit Probability: 19.8% | Stand Probability: 7.4%
  Dealer Upcard: 9 | Hit Probability: 18.2% | Stand Probability: 6.5%
  Dealer Upcard: 10 | Hit Probability: 13.7% | Stand Probability: 4.1%


Player's Score: 18
  Dealer Upcard: 1 | Hit Probability: 14.7% | Stand Probability: 18.4%
  Dealer Upcard: 2 | Hit Probability: 15.4% | Stand Probability: 26.8%
  Dealer Upcard: 3 | Hit Probability: 15.2% | Stand Probability: 23.7%
  Dealer Upcard: 4 | Hit Probability: 15.5% | Stand Probability: 27.3%
  Dealer Upcard: 5 | Hit Probability: 14.7% | Stand Probability: 24.6%
  Dealer Upcard: 6 | Hit Probability: 13.3% | Stand Probability: 23.7%
  Dealer Upcard: 7 | Hit Probability: 17.4% | Stand Probability: 46.9%
  Dealer Upcard: 8 | Hit Probability: 18.8% | Stand Probability: 21.2%
  Dealer Upcard: 9 | Hit Probability: 17.0% | Stand Probability: 18.7%
  Dealer Upcard: 10 | Hit Probability: 13.4% | Stand Probability: 15.9%


Player's Score: 19
  Dealer Upcard: 1 | Hit Probability: 10.8% | Stand Probability: 30.4%
  Dealer Upcard: 2 | Hit Probability: 10.0% | Stand Probability: 38.1%
  Dealer Upcard: 3 | Hit Probability: 12.7% | Stand Probability: 37.3%
  Dealer Upcard: 4 | Hit Probability: 13.4% | Stand Probability: 39.1%
  Dealer Upcard: 5 | Hit Probability: 12.5% | Stand Probability: 35.1%
  Dealer Upcard: 6 | Hit Probability: 12.2% | Stand Probability: 34.4%
  Dealer Upcard: 7 | Hit Probability: 12.0% | Stand Probability: 54.5%
  Dealer Upcard: 8 | Hit Probability: 12.6% | Stand Probability: 57.8%
  Dealer Upcard: 9 | Hit Probability: 14.7% | Stand Probability: 31.1%
  Dealer Upcard: 10 | Hit Probability: 11.2% | Stand Probability: 27.8%


Player's Score: 20
  Dealer Upcard: 1 | Hit Probability: 6.4% | Stand Probability: 41.4%
  Dealer Upcard: 2 | Hit Probability: 8.5% | Stand Probability: 53.2%
  Dealer Upcard: 3 | Hit Probability: 7.5% | Stand Probability: 51.2%
  Dealer Upcard: 4 | Hit Probability: 8.5% | Stand Probability: 48.9%
  Dealer Upcard: 5 | Hit Probability: 7.7% | Stand Probability: 48.1%
  Dealer Upcard: 6 | Hit Probability: 9.1% | Stand Probability: 46.5%
  Dealer Upcard: 7 | Hit Probability: 8.5% | Stand Probability: 62.7%
  Dealer Upcard: 8 | Hit Probability: 8.8% | Stand Probability: 66.4%
  Dealer Upcard: 9 | Hit Probability: 9.0% | Stand Probability: 68.2%
  Dealer Upcard: 10 | Hit Probability: 8.0% | Stand Probability: 40.0%

